Van,Player_0,Player_1,Player_2
340,0,30000,0
341,0,30000,0
342,0,30000,0
343,0,30000,0
344,0,30000,0
345,0,30000,0
346,0,30000,0
347,0,30000,0
348,0,30000,0
349,0,30000,0
350,0,30000,0
351,0,30000,0
352,0,30000,0
353,0,30000,0
354,0,30000,0
355,0,30000,0
356,0,30000,0
357,0,30000,0
358,0,30000,0
359,0,30000,0
360,0,30000,0
361,0,30000,0
362,0,30000,0
363,0,30000,0
364,0,30000,0
365,0,30000,0
366,0,30000,0
367,0,30000,0
368,0,30000,0
369,0,30000,0
370,0,30000,0
371,0,30000,0
372,0,30000,0
373,0,30000,0
374,0,30000,0
375,0,30000,0
376,0,30000,0
377,0,30000,0
378,0,30000,0
379,0,30000,0
380,0,30000,0
381,0,30000,0
382,0,30000,0
383,0,30000,0
384,0,30000,0
385,0,30000,0
386,0,30000,0
387,0,30000,0
388,0,30000,0
389,0,30000,0
390,0,30000,0
391,0,30000,0
392,0,30000,0
393,0,30000,0
394,0,30000,0
395,0,30000,0
396,0,30000,0
397,0,30000,0
398,0,30000,0
399,0,30000,0
400,0,30000,0
401,0,30000,0
402,0,30000,0
403,0,30000,0
404,0,30000,0
405,0,30000,0
406,0,30000,0
407,0,30000,0
408,0,30000,0
409,0,30000,0
410,0,30000,0
411,0,30000,0
412,0,30000,0
413,0,30000,0
414,0,30000,0
415,0,30000,0
416,0,30000,0
417,0,30000,0
418,0,30000,0
419,0,30000,0
420,0,30000,0
421,0,30000,0
422,0,30000,0
423,0,30000,0
424,0,30000,0
425,0,30000,0
426,0,30000,0
427,0,30000,0
428,0,30000,0
429,0,30000,0
430,0,30000,0
431,0,30000,0
432,0,30000,0
433,0,30000,0
434,0,30000,0
435,0,30000,0
436,0,30000,0
437,0,30000,0
438,0,30000,0
439,0,30000,0
440,0,30000,0
441,0,30000,0
442,0,30000,0
443,0,30000,0
444,0,30000,0
445,0,30000,0
446,0,30000,0
447,0,30000,0
448,0,30000,0
449,0,30000,0
450,0,30000,0
451,0,30000,0
452,0,30000,0
453,0,30000,0
454,0,30000,0
455,0,30000,0
456,0,30000,0
457,0,30000,0
458,0,30000,0
459,0,30000,0
460,0,30000,0
461,0,30000,0
462,0,30000,0
463,0,30000,0
464,0,30000,0
465,0,30000,0
466,0,30000,0
467,0,30000,0
468,0,30000,0
469,0,30000,0
470,0,30000,0
471,0,30000,0
472,0,30000,0
473,0,30000,0
474,0,30000,0
475,0,30000,0
476,0,30000,0
477,0,30000,0
478,0,30000,0
479,0,30000,0
480,0,30000,0
481,0,30000,0
482,0,30000,0
483,0,30000,0
484,0,30000,0
485,0,30000,0
486,0,30000,0
487,0,30000,0
488,0,30000,0
489,0,30000,0
490,0,30000,0
491,0,30000,0
492,0,30000,0
493,0,30000,0
494,0,30000,0
495,0,30000,0
496,0,30000,0
497,0,30000,0
498,0,30000,0
499,0,30000,0
500,0,30000,0
501,0,30000,0
502,0,30000,0
503,0,30000,0
504,0,30000,0
505,0,30000,0
506,0,30000,0
507,0,30000,0
508,0,30000,0
509,0,30000,0
510,0,30000,0
511,0,30000,0
512,0,30000,0
513,0,30000,0
514,0,30000,0
515,0,30000,0
516,0,30000,0
517,0,30000,0
518,0,30000,0
519,0,30000,0
520,0,30000,0
521,0,30000,0
522,0,30000,0
523,0,30000,0
524,0,30000,0
525,0,30000,0
526,0,30000,0
527,0,30000,0
528,0,30000,0
529,0,30000,0
530,0,30000,0
531,0,30000,0
532,0,30000,0
533,0,30000,0
534,0,30000,0
535,0,30000,0
536,0,30000,0
537,0,30000,0
538,0,30000,0
539,0,30000,0
540,0,30000,0
541,0,30000,0
542,0,30000,0
543,0,30000,0
544,0,30000,0
545,0,30000,0
546,0,30000,0
547,0,30000,0
548,0,30000,0
549,0,30000,0
550,0,30000,0
551,0,30000,0
552,0,30000,0
553,0,30000,0
554,0,30000,0
555,0,30000,0
556,0,30000,0
557,0,30000,0
558,0,30000,0
559,0,30000,0
560,0,30000,0
561,0,30000,0
562,0,30000,0
563,0,30000,0
564,0,30000,0
565,0,30000,0
566,0,30000,0
567,0,30000,0
568,0,30000,0
569,0,30000,0
570,0,30000,0
571,0,30000,0
572,0,30000,0
573,0,30000,0
574,0,30000,0
575,0,30000,0
576,0,30000,0
577,0,30000,0
578,0,30000,0
579,0,30000,0
580,0,30000,0
581,0,30000,0
582,0,30000,0
583,0,30000,0
584,0,30000,0
585,0,30000,0
586,0,30000,0
587,0,30000,0
588,0,30000,0
589,0,30000,0
590,0,30000,0
591,0,30000,0
592,0,30000,0
593,0,30000,0
594,0,30000,0
595,0,30000,0
596,0,30000,0
597,0,30000,0
598,0,30000,0
599,0,30000,0
600,0,30000,0
601,0,30000,0
602,0,30000,0
603,0,30000,0
604,0,30000,0
605,0,30000,0
606,0,30000,0
607,0,30000,0
608,0,30000,0
609,0,30000,0
610,0,30000,0
611,0,30000,0
612,0,30000,0
613,0,30000,0
614,0,30000,0
615,0,30000,0
616,0,30000,0
617,0,30000,0
618,0,30000,0
619,0,30000,0
620,0,30000,0
621,0,30000,0
622,0,30000,0
623,0,30000,0
624,0,30000,0
625,0,30000,0
626,0,30000,0
627,0,30000,0
628,0,30000,0
629,0,30000,0
630,0,30000,0
631,0,30000,0
632,0,30000,0
633,0,30000,0
634,0,30000,0
635,0,30000,0
636,0,30000,0
637,0,30000,0
638,0,30000,0
639,0,30000,0
640,0,30000,0
641,0,30000,0
642,0,30000,0
643,0,30000,0
644,0,30000,0
645,0,30000,0
646,0,30000,0
647,0,30000,0
648,0,30000,0
649,0,30000,0
650,0,30000,0
651,0,30000,0
652,0,30000,0
653,0,30000,0
654,0,30000,0
655,0,30000,0
656,0,30000,0
657,0,30000,0
658,0,30000,0
659,0,30000,0
660,0,30000,0
661,0,30000,0
662,0,30000,0
663,0,30000,0
664,0,30000,0
665,0,30000,0
666,0,30000,0
667,0,30000,0
668,0,30000,0
669,0,30000,0
670,0,30000,0
671,0,30000,0
672,0,30000,0
673,0,30000,0
674,0,30000,0
675,0,30000,0
676,0,30000,0
677,0,30000,0
678,0,30000,0
679,0,30000,0
680,0,30000,0
681,0,30000,0
682,0,30000,0
683,0,30000,0
684,0,30000,0
685,0,30000,0
686,0,30000,0
687,0,30000,0
688,0,30000,0
689,0,30000,0
690,0,30000,0
691,0,30000,0
692,0,30000,0
693,0,30000,0
694,0,30000,0
695,0,30000,0
696,0,30000,0
697,0,30000,0
698,0,30000,0
699,0,30000,0
700,0,30000,0
701,0,30000,0
702,0,30000,0
703,0,30000,0
704,0,30000,0
705,0,30000,0
706,0,30000,0
707,0,30000,0
708,0,30000,0
709,0,30000,0
710,0,30000,0
711,0,30000,0
712,0,30000,0
713,0,30000,0
714,0,30000,0
715,0,30000,0
716,0,30000,0
717,0,30000,0
718,0,30000,0
719,0,30000,0
720,0,30000,0
721,0,30000,0
722,0,30000,0
723,0,30000,0
724,0,30000,0
725,0,30000,0
726,0,30000,0
727,0,30000,0
728,0,30000,0
729,0,30000,0
730,0,30000,0
731,0,30000,0
732,0,30000,0
733,0,30000,0
734,0,30000,0
735,0,30000,0
736,0,30000,0
737,0,30000,0
738,0,30000,0
739,0,30000,0
740,0,30000,0
741,0,30000,0
742,0,30000,0
743,0,30000,0
744,0,30000,0
745,0,30000,0
746,0,30000,0
747,0,30000,0
748,0,30000,0
749,0,30000,0
750,0,30000,0
751,0,30000,0
752,0,30000,0
753,0,30000,0
754,0,30000,0
755,0,30000,0
756,0,30000,0
757,0,30000,0
758,0,30000,0
759,0,30000,0
760,0,30000,0
761,0,30000,0
762,0,30000,0
763,0,30000,0
764,0,30000,0
765,0,30000,0
766,0,30000,0
767,0,30000,0
768,0,30000,0
769,0,30000,0
770,0,30000,0
771,0,30000,0
772,0,30000,0
773,0,30000,0
774,0,30000,0
775,0,30000,0
776,0,30000,0
777,0,30000,0
778,0,30000,0
779,0,30000,0
780,0,30000,0
781,0,30000,0
782,0,30000,0
783,0,30000,0
784,0,30000,0
785,0,30000,0
786,0,30000,0
787,0,30000,0
788,0,30000,0
789,0,30000,0
790,0,30000,0
791,0,30000,0
792,0,30000,0
793,0,30000,0
794,0,30000,0
795,0,30000,0
796,0,30000,0
797,0,30000,0
798,0,30000,0
799,0,30000,0
800,0,30000,0
801,0,30000,0
802,0,30000,0
803,0,30000,0
804,0,30000,0
805,0,30000,0
806,0,30000,0
807,0,30000,0
808,0,30000,0
809,0,30000,0
810,0,30000,0
811,0,30000,0
812,0,30000,0
813,0,30000,0
814,0,30000,0
815,0,30000,0
816,0,30000,0
817,0,30000,0
818,0,30000,0
819,0,30000,0
820,0,30000,0
821,0,30000,0
822,0,30000,0
823,0,30000,0
824,0,30000,0
825,0,30000,0
826,0,30000,0
827,0,30000,0
828,0,30000,0
829,0,30000,0
830,0,30000,0
831,0,30000,0
832,0,30000,0
833,0,30000,0
834,0,30000,0
835,0,30000,0
836,0,30000,0
837,0,30000,0
838,0,30000,0
839,0,30000,0
840,0,30000,0
841,0,30000,0
842,0,30000,0
843,0,30000,0
844,0,30000,0
845,0,30000,0
846,0,30000,0
847,0,30000,0
848,0,30000,0
849,0,30000,0
850,0,30000,0
851,0,30000,0
852,0,30000,0
853,0,30000,0
854,0,30000,0
855,0,30000,0
856,0,30000,0
857,0,30000,0
858,0,30000,0
859,0,30000,0
860,0,30000,0
861,0,30000,0
862,0,30000,0
863,0,30000,0
864,0,30000,0
865,0,30000,0
866,0,30000,0
867,0,30000,0
868,0,30000,0
869,0,30000,0
870,0,30000,0
871,0,30000,0
872,0,30000,0
873,0,30000,0
874,0,30000,0
875,0,30000,0
876,0,30000,0
877,0,30000,0
878,0,30000,0
879,0,30000,0
880,0,30000,0
881,0,30000,0
882,0,30000,0
883,0,30000,0
884,0,30000,0
885,0,30000,0
886,0,30000,0
887,0,30000,0
888,0,30000,0
889,0,30000,0
890,0,30000,0
891,0,30000,0
892,0,30000,0
893,0,30000,0
894,0,30000,0
895,0,30000,0
896,0,30000,0
897,0,30000,0
898,0,30000,0
899,0,30000,0
900,0,30000,0
901,0,30000,0
902,0,30000,0
903,0,30000,0
904,0,30000,0
905,0,30000,0
906,0,30000,0
907,0,30000,0
908,0,30000,0
909,0,30000,0
910,0,30000,0
911,0,30000,0
912,0,30000,0
913,0,30000,0
914,0,30000,0
915,0,30000,0
916,0,30000,0
917,0,30000,0
918,0,30000,0
919,0,30000,0
920,0,30000,0
921,0,30000,0
922,0,30000,0
923,0,30000,0
924,0,30000,0
925,0,30000,0
926,0,30000,0
927,0,30000,0
928,0,30000,0
929,0,30000,0
930,0,30000,0
931,0,30000,0
932,0,30000,0
933,0,30000,0
934,0,30000,0
935,0,30000,0
936,0,30000,0
937,0,30000,0
938,0,30000,0
939,0,30000,0
940,0,30000,0
941,0,30000,0
942,0,30000,0
943,0,30000,0
944,0,30000,0
945,0,30000,0
946,0,30000,0
947,0,30000,0
948,0,30000,0
949,0,30000,0
950,0,30000,0
951,0,30000,0
952,0,30000,0
953,0,30000,0
954,0,30000,0
955,0,30000,0
956,0,30000,0
957,0,30000,0
958,0,30000,0
959,0,30000,0
960,0,30000,0
961,0,30000,0
962,0,30000,0
963,0,30000,0
964,0,30000,0
965,0,30000,0
966,0,30000,0
967,0,30000,0
968,0,30000,0
969,0,30000,0
970,0,30000,0
971,0,30000,0
972,0,30000,0
973,0,30000,0
974,0,30000,0
975,0,30000,0
976,0,30000,0
977,0,30000,0
978,0,30000,0
979,0,30000,0
980,0,30000,0
981,0,30000,0
982,0,30000,0
983,0,30000,0
984,0,30000,0
985,0,30000,0
986,0,30000,0
987,0,30000,0
988,0,30000,0
989,0,30000,0
990,0,30000,0
991,0,30000,0
992,0,30000,0
993,0,30000,0
994,0,30000,0
995,0,30000,0
996,0,30000,0
997,0,30000,0
998,0,30000,0
999,0,30000,0
1000,0,30000,0
